id,Name,Team,Position,Birth Date,School,Photo URL,Draft Info,Active Years
16040,박기호 (Giho Park),SSG,P,우투우타,청주-현도중-청주고,https://statiz.sporki.com/data/baseball/player/2023/16040.png,24 SSG 3라운드 30순위,2024년 ~ 2024년
16041,최현석 (Hyun-suk Choi),SSG,P,우투우타,서흥초-동산중-동산고-부산과학기술대,https://statiz.sporki.com/data/baseball/player/2023/16041.png,24 SSG 4라운드 40순위,2024년 ~ 2024년
16042,정준재 (Jun-jae Jung),SSG,2B,우투좌타,상인천초-동인천중-강릉고-동국대,https://statiz.sporki.com/data/baseball/player/2023/16042.png,24 SSG 5라운드 50순위,2024년 ~ 2024년
16043,정현승 (Hyun-seung Jung),SSG,RF,좌투좌타,현산초-부천중-덕수고,https://statiz.sporki.com/data/baseball/player/2023/16043.png,24 SSG 6라운드 60순위,2024년 ~ 2024년
16044,박성빈 (Sung-bin Park),SSG,P,우투우타,강남-대치중-휘문고-사이버한국외대,https://statiz.sporki.com/data/baseball/player/2023/16044.png,24 SSG 7라운드 70순위,2024년 ~ 2024년
16045,백준서 (Jun-seo Baek),SSG,LF,우투우타,분당-대원중-덕수고,https://statiz.sporki.com/data/baseball/player/2023/16045.png,24 SSG 8라운드 80순위,2024년 ~ 2024년
16046,윤성보 (Seong-bo Yun),SSG,P,우투우타,남산초-서울청담중-라온고-송원대,https://statiz.sporki.com/data/baseball/player/2023/16046.png,24 SSG 9라운드 90순위,2024년 ~ 2024년
16047,김규민 (Kyu-min Kim),SSG,C,우투좌타,수원영통-매향중-공주고-여주대,https://statiz.sporki.com/data/baseball/player/2023/16047.png,24 SSG 10라운드 100순위,2024년 ~ 2024년
16048,변건우 (kun-woo Byun),SSG,P,우투우타,남양주-충암중-충암고,https://statiz.sporki.com/data/baseball/player/2023/16048.png,24 SSG 11라운드 110순위,2024년 ~ 2024년
16049,김민규 (Min-Gyu Kim),NC,P,우투우타,광주서석초-진흥중-광주동성고-경성대,https://statiz.sporki.com/data/baseball/player/2023/16049.png,24 NC 육성선수,2024년 ~ 2024년
