player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
이인행,기아타이거즈,2018,0.0,기아타이거즈-2018-이인행,L,R,"6' 0""",209,27,4,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
이명기,기아타이거즈,2018,0.00796812749003984,기아타이거즈-2018-이명기,L,L,"6' 0""",191,30,120,502,447,88,135,28,6,4,42,12,5,40,64,0.302,0.363,0.418,3,0.781,187,5,3,11,1
이영욱,기아타이거즈,2018,0.0,기아타이거즈-2018-이영욱,L,L,"5' 10""",187,32,14,16,16,0,2,0,0,0,1,1,0,0,4,0.125,0.125,0.125,0,0.25,2,0,0,0,0
나지완,기아타이거즈,2018,0.06860158311345646,기아타이거즈-2018-나지완,R,R,"5' 11""",231,33,114,379,317,50,86,18,0,26,78,0,0,38,81,0.271,0.377,0.574,2,0.951,182,14,19,0,5
Héctor Noesí,기아타이거즈,2018,0.0,기아타이거즈-2018-Héctor Noesí,R,R,"6' 4""",220,31,29,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
박준태,기아타이거즈,2018,0.03333333333333333,기아타이거즈-2018-박준태,L,R,"5' 11""",165,26,85,150,123,32,28,5,1,5,24,0,2,13,37,0.228,0.345,0.407,0,0.751,50,1,9,5,0
류승현,기아타이거즈,2018,0.011764705882352941,기아타이거즈-2018-류승현,L,R,"5' 7""",185,20,35,85,75,9,23,3,1,1,13,0,0,7,12,0.307,0.369,0.413,0,0.782,31,2,1,1,1
서동욱,기아타이거즈,2018,0.0,기아타이거즈-2018-서동욱,S,R,"6' 2""",218,34,32,56,49,3,10,3,0,0,2,0,0,5,15,0.204,0.286,0.265,0,0.551,13,1,1,0,1
신범수,기아타이거즈,2018,0.0,기아타이거즈-2018-신범수,L,R,"5' 9""",182,20,19,26,25,0,4,2,1,0,4,0,0,0,7,0.16,0.154,0.32,0,0.474,8,1,0,0,1
유민상,기아타이거즈,2018,0.05172413793103448,기아타이거즈-2018-유민상,L,R,"6' 1""",222,29,31,58,48,9,13,2,1,3,14,0,0,8,14,0.271,0.362,0.542,0,0.904,26,3,0,0,2
유승철,기아타이거즈,2018,0.0,기아타이거즈-2018-유승철,S,R,"6' 0""",191,20,39,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
유재신,기아타이거즈,2018,0.025,기아타이거즈-2018-유재신,R,R,"5' 10""",171,30,46,40,33,19,14,3,1,1,8,4,0,7,10,0.424,0.525,0.667,0,1.192,22,0,0,0,0
안치홍,기아타이거즈,2019,0.012254901960784314,기아타이거즈-2019-안치홍,R,R,"5' 10""",194,28,105,408,362,45,114,18,1,5,49,4,2,40,37,0.315,0.38,0.412,1,0.792,149,9,1,0,5
백용환,기아타이거즈,2019,0.0392156862745098,기아타이거즈-2019-백용환,R,R,"5' 10""",209,30,28,51,47,3,11,2,0,2,6,0,0,3,14,0.234,0.294,0.404,0,0.698,19,0,1,0,0
최형우,기아타이거즈,2019,0.03063063063063063,기아타이거즈-2019-최형우,L,R,"5' 10""",233,35,136,555,456,65,137,31,1,17,86,0,1,85,77,0.3,0.413,0.485,6,0.897,221,13,7,0,7
최정용,기아타이거즈,2019,0.0,기아타이거즈-2019-최정용,L,R,"5' 10""",165,22,8,21,21,4,6,0,0,0,1,0,0,0,10,0.286,0.286,0.286,0,0.571,6,0,0,0,0
최정민,기아타이거즈,2019,0.0,기아타이거즈-2019-최정민,L,R,"5' 9""",158,30,4,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0,0.0,0,0,0,0,0
최원준,기아타이거즈,2019,0.00392156862745098,기아타이거즈-2019-최원준,L,R,"5' 10""",187,22,90,255,232,33,46,11,3,1,18,8,4,16,51,0.198,0.261,0.285,0,0.545,66,4,4,2,1
한준수,기아타이거즈,2019,0.0,기아타이거즈-2019-한준수,L,R,"6' 0""",209,20,7,20,20,2,6,2,0,0,2,0,0,0,2,0.3,0.3,0.4,0,0.7,8,2,0,0,0
한승택,기아타이거즈,2019,0.010416666666666666,기아타이거즈-2019-한승택,R,R,"5' 8""",182,25,105,288,251,22,56,9,1,3,27,1,0,27,82,0.223,0.299,0.303,1,0.602,76,8,1,7,2
Jeremy Hazelbaker,기아타이거즈,2019,0.043478260869565216,기아타이거즈-2019-Jeremy Hazelbaker,L,R,"6' 3""",190,31,11,46,41,5,6,2,0,2,5,1,1,4,18,0.146,0.239,0.342,0,0.581,14,0,1,0,0
홍재호,기아타이거즈,2019,0.0,기아타이거즈-2019-홍재호,R,R,"5' 10""",174,32,10,20,19,2,4,0,0,0,0,0,0,1,5,0.211,0.25,0.211,0,0.461,4,1,0,0,0
